,imdbId,movieId,rating,timestamp,tmdbId,userId
0,114709.0,1,,,862.0,
1,113497.0,2,,,8844.0,
2,113228.0,3,,,15602.0,
3,114885.0,4,,,31357.0,
4,113041.0,5,,,11862.0,
5,113277.0,6,,,949.0,
6,114319.0,7,,,11860.0,
7,112302.0,8,,,45325.0,
8,114576.0,9,,,9091.0,
9,113189.0,10,,,710.0,
10,112346.0,11,,,9087.0,
11,112896.0,12,,,12110.0,
12,112453.0,13,,,21032.0,
13,113987.0,14,,,10858.0,
14,112760.0,15,,,1408.0,
15,112641.0,16,,,524.0,
16,114388.0,17,,,4584.0,
17,113101.0,18,,,5.0,
18,112281.0,19,,,9273.0,
19,113845.0,20,,,11517.0,
20,113161.0,21,,,8012.0,
21,112722.0,22,,,1710.0,
22,112401.0,23,,,9691.0,
23,114168.0,24,,,12665.0,
24,113627.0,25,,,451.0,
25,114057.0,26,,,16420.0,
26,114011.0,27,,,9263.0,
27,114117.0,28,,,17015.0,
28,112682.0,29,,,902.0,
29,115012.0,30,,,37557.0,
30,112792.0,31,,,9909.0,
31,114746.0,32,,,63.0,
32,112431.0,34,,,9598.0,
33,112818.0,36,,,687.0,
34,113442.0,38,,,33689.0,
35,112697.0,39,,,9603.0,
36,112749.0,40,,,34615.0,
37,114279.0,41,,,31174.0,
38,112819.0,42,,,11443.0,
39,114272.0,43,,,35196.0,
40,113855.0,44,,,9312.0,
41,114681.0,45,,,577.0,
42,113347.0,46,,,11861.0,
43,114369.0,47,,,807.0,
44,114148.0,48,,,10530.0,
45,114916.0,49,,,8391.0,
46,114814.0,50,,,629.0,
47,113819.0,52,,,11448.0,
48,110299.0,53,,,49133.0,
49,112499.0,54,,,26441.0,
50,113158.0,55,,,97406.0,
51,113321.0,57,,,9089.0,
52,110877.0,58,,,11010.0,
53,113419.0,60,,,11359.0,
54,116260.0,61,,,17182.0,
55,113862.0,62,,,2054.0,
56,116126.0,63,,,10607.0,
57,118002.0,64,,,19760.0,
58,115683.0,65,,,9536.0,
59,116839.0,66,,,11525.0,
60,113149.0,68,,,4482.0,
61,113118.0,69,,,10634.0,
